SDN,Sat_1,Sat_2,Sat_3,Sat_4,Sat_5,Sat_6,Sat_7,Sat_8,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,uM_1,uM_2,uM_3,uM_4,uM_5,uM_6,uM_7,uM_8,mgL_1,mgL_2,mgL_3,mgL_4,mgL_5,mgL_6,mgL_7,mgL_8,DeSpike_1,DeSpike_2,DeSpike_3,DeSpike_4,DeSpike_5,DeSpike_6,DeSpike_7,DeSpike_8
737962.9813,95.3,92.4,NaN,63.4,77.2,53.6,50.5,27.2,18.1,13.3,NaN,11.1,13.3,10.8,11.3,10,223.3202136,237.8401936,NaN,170.8429281,198.714967,145.3610755,135.5056003,75.04635057,6.979192875,7.432970612,NaN,5.3391752,6.210230858,4.542817535,4.234814685,2.345345039,0,0,1,0,1,0,0,0
737962.9917,95.5,92.3,NaN,63.8,73,53.3,50.1,27.2,18.1,13.4,NaN,11.1,13.3,10.8,11.3,10.1,223.7888814,237.0988618,NaN,171.9208014,187.9040491,144.5474874,134.4322886,74.8839649,6.99383966,7.409802543,NaN,5.372860848,5.872368557,4.517391317,4.201271598,2.34027017,0,0,1,0,1,0,0,0
737963.0021,95.3,92.2,NaN,66.6,85,53,50,26.9,18.1,13.3,NaN,11.2,13.9,10.8,11.4,10,223.3202136,237.325388,NaN,179.0854029,216.1439175,143.7338993,133.8805443,74.21863347,6.979192875,7.416881931,NaN,5.596768639,6.754919604,4.4919651,4.184028512,2.319477263,0,0,1,0,1,0,0,0
737963.0125,95.3,92,NaN,63.3,81.3,53.7,50.7,26.9,18,13.3,NaN,11.1,14.1,10.8,11.3,10,223.7397662,236.8105824,NaN,170.5734597,205.9037369,145.6322715,136.0422561,74.21863347,6.992304712,7.40079325,NaN,5.330753788,6.434893959,4.551292941,4.251586228,2.319477263,0,0,1,0,1,0,0,0
737963.0229,95.3,91.9,NaN,64.7,78.5,53.1,50.3,26.9,18.1,13.4,NaN,11.3,13.2,10.8,11.6,10,223.3202136,236.0713477,NaN,173.6081651,202.4743661,144.0050953,134.1169612,74.21863347,6.979192875,7.377690723,NaN,5.425594259,6.327719423,4.500440506,4.191417001,2.319477263,0,0,1,0,0,0,0,0
737963.0333,95.3,92,NaN,64.5,70.6,53.6,50.2,27.2,18.1,13.3,NaN,11.2,12.3,10.7,11.3,10,223.3202136,236.8105824,NaN,173.4385659,185.5076982,145.6722226,134.7006165,75.04635057,6.979192875,7.40079325,NaN,5.420293952,5.797477911,4.552541491,4.20965737,2.345345039,0,0,1,0,0,0,0,0
737963.0438,95.6,92.3,NaN,64.9,72.8,54.4,50.9,27.5,18.1,13.3,NaN,11.1,12.4,10.7,11.3,9.9,224.0232153,237.5827908,NaN,174.8849532,190.8916284,147.8464349,136.578912,76.03890692,7.001163052,7.424926272,NaN,5.46549638,5.965736246,4.620489872,4.268357771,2.376364364,0,0,1,0,0,0,0,0
737963.0542,95.6,92.5,NaN,66.5,62.9,54.8,51.1,27.4,18.1,13.3,NaN,11.1,11.8,10.6,11.1,9.8,224.0232153,238.0975965,NaN,179.1964466,167.0095601,149.2529258,137.6983221,75.92730535,7.001163052,7.441014953,NaN,5.600238972,5.219374965,4.66444546,4.303341526,2.372876597,0,0,1,0,1,0,0,0
737963.0646,95.6,92.2,NaN,65.1,58.8,54.1,51.1,26.8,18.1,13.2,NaN,11,11.5,10.6,11.2,9.8,224.0232153,237.8106568,NaN,175.7973105,157.1115369,147.3464103,137.4063677,74.26466363,7.001163052,7.432047527,NaN,5.494009329,4.910042407,4.604863127,4.294217379,2.320915796,0,0,1,0,1,0,0,0
737963.075,95.7,92.2,NaN,64.1,70.7,53.8,51.7,26.5,18,13,NaN,11,11.9,10.6,11.3,9.8,224.6788628,238.7868255,NaN,173.096891,187.3268758,146.5293323,138.7255353,73.43334277,7.021653315,7.462554705,NaN,5.409615944,5.854330763,4.579327842,4.335443944,2.294935395,0,0,1,0,1,0,0,0
